"Department","Total_Absent_People","Total_Absent_Hours","Average_Absent_People","Average_Absent_Hours","Absent_Rate","total_worked","month"
"SA ULTRASOUND","25",192,"1.19","9.14","114%",168,2020-03-01
"SA ULTRASOUND","22",176,"1.05","8.38","105%",168,2020-01-01
"SA ULTRASOUND","23",184,"1.05","8.36","105%",176,2020-04-01
"SA ULTRASOUND","19",152,"1","8","100%",152,2020-02-01
"SA ULTRASOUND","20",160,"1","8","100%",160,2020-05-01
"DENTISTRY","45",359.25,"2.05","16.33","79%",457.6,2020-04-01
"DENTISTRY","35",295,"1.67","14.05","68%",436.8,2020-03-01
"BIOLOGICAL MEDIA SERVICES","51",371.25,"2.32","16.88","53%",704,2020-04-01
"SA INTEGRATIVE MEDICINE","37",295,"1.68","13.41","52%",563.2,2020-04-01
"DENTISTRY","30",233.25,"1.36","10.6","51%",457.6,2020-06-01
"SA ULTRASOUND","10",80,"0.5","4","50%",160,2021-05-01
"B BARN","40",296.75,"1.82","13.49","48%",616,2020-04-01
"SA SX SUPPORT","94",798.25,"4.27","36.28","46%",1742.4,2020-04-01
"DENTISTRY","20",171,"1.05","9","43%",395.2,2020-02-01
"CLIENT SERVICES","404",3160.25,"18.36","143.65","43%",7304,2020-04-01
"DENTISTRY","24",179.25,"1.2","8.96","43%",416,2020-05-01
"DENTISTRY","21",185,"1","8.81","42%",436.8,2020-01-01
"COMMUNITY SURGERY","82",666,"3.73","30.27","42%",1575.2,2020-04-01
"DENTISTRY","22",194,"1","8.82","42%",457.6,2020-07-01
"ORTHOPEDIC SURGERY","90",716.5,"4.09","32.57","41%",1738.88,2020-04-01
"LA FEED & BEDDING","93",643.5,"4.23","29.25","41%",1584,2020-04-01
"CLINICAL LABORATORIES","144",1052.25,"6.55","47.83","40%",2631.2,2020-04-01
"BIOLOGICAL MEDIA SERVICES","34",257,"1.7","12.85","40%",640,2020-12-01
"COMMUNITY SURGERY","68",581.25,"3.24","27.68","39%",1503.6,2020-03-01
"PERSONNEL/PAYROLL","20",160,"1.05","8.42","38%",418,2022-11-01
"CENTRAL SERVICE","83",600,"3.77","27.27","36%",1689.6,2020-04-01
"FINANCIAL SERVICES","29",231.75,"1.45","11.59","36%",640,2022-07-01
"PERSONNEL/PAYROLL","20",160,"0.95","7.62","35%",462,2022-10-01
"ANESTHESIA","160",1287.5,"7.27","58.52","34%",3836.8,2020-04-01
"NEURO","79",688.75,"3.59","31.31","33%",2112,2020-04-01
"FINANCIAL SERVICES","28",224,"1.33","10.67","33%",672,2022-10-01
"B BARN","24",187.5,"1.14","8.93","32%",588,2020-03-01
"FINANCIAL SERVICES","29",232,"1.26","10.09","32%",736,2022-08-01
"DERMATOLOGY","13",104,"0.62","4.95","31%",336,2020-09-01
"COMMUNITY SURGERY","52",426.5,"2.6","21.32","30%",1432,2020-05-01
"FINANCIAL SERVICES","26",204.25,"1.24","9.73","30%",672,2022-09-01
"B BARN","23",181.5,"1.05","8.25","29%",616,2020-06-01
"OPHTHALMOLOGY","30",238,"1.5","11.9","29%",832,2022-07-01
"FINANCIAL SERVICES","23",177.25,"1.21","9.33","29%",608,2022-11-01
"DERMATOLOGY","17",97.5,"0.77","4.43","28%",352,2020-04-01
"COMP AVIAN","41",328,"2.05","16.4","28%",1184,2021-12-01
"SA INTEGRATIVE MEDICINE","20",146.25,"0.95","6.96","27%",537.6,2020-03-01
"LA FEED & BEDDING","58",394.5,"2.9","19.73","27%",1440,2020-05-01
"BIOLOGICAL MEDIA SERVICES","26",181.5,"1.24","8.64","27%",672,2020-08-01
"ORTHOPEDIC SURGERY","51",449.75,"2.43","21.42","27%",1659.84,2021-06-01
"SA COMMUNITY SERVICE","43",318.25,"1.95","14.47","26%",1232,2020-04-01
"SMALL ANIMAL PATIENT CARE","283",2047.25,"12.86","93.06","26%",8016.8,2020-04-01
"LA FEED & BEDDING","51",409,"2.32","18.59","26%",1584,2020-07-01
"OPHTHALMOLOGY","24",224,"1.14","10.67","26%",873.6,2021-07-01
"SA CARDIOLOGY","27",182.5,"1.23","8.3","25%",721.6,2020-04-01
"OPHTHALMOLOGY","31",228.25,"1.41","10.38","25%",915.2,2020-04-01
"RADIOLOGY","113",829.25,"5.14","37.69","25%",3361.6,2020-04-01
"FINANCIAL SERVICES","21",168,"1","8","25%",672,2022-05-01
"PERSONNEL/PAYROLL","14",124,"0.61","5.39","25%",506,2022-08-01
"COMMUNITY SURGERY","44",335.75,"2.32","17.67","25%",1360.4,2022-11-01
"BIOLOGICAL MEDIA SERVICES","21",158,"1","7.52","24%",672,2020-03-01
"ORTHOPEDIC SURGERY","48",396.25,"2.29","18.87","24%",1659.84,2020-03-01
"ONCOLOGIES","83",592.5,"3.77","26.93","24%",2446.4,2020-04-01
"CLINICAL LABORATORIES","76",586,"3.8","29.3","24%",2392,2020-05-01
"BEHAVIOR","12",86,"0.55","3.91","24%",352,2020-07-01
"PERSONNEL/PAYROLL","13",103.5,"0.65","5.18","24%",440,2020-12-01
"PERSONNEL/PAYROLL","13",103.5,"0.65","5.18","24%",440,2021-12-01
"CLINICAL LABORATORIES","80",614.75,"3.81","29.27","24%",2511.6,2022-05-01
"LAM - EQUINE","208",1661.75,"9.45","75.53","23%",7383.2,2020-04-01
"COMMUNITY SURGERY","44",367,"2","16.68","23%",1575.2,2020-07-01
"DERMATOLOGY","10",80,"0.45","3.64","23%",352,2021-04-01
"COMP AVIAN","38",288,"1.81","13.71","23%",1243.2,2021-09-01
"CLINICAL LABORATORIES","70",539.25,"3.5","26.96","23%",2392,2022-07-01
"CLIENT SERVICES","197",1530.5,"9.38","72.88","22%",6972,2020-03-01
"DERMATOLOGY","12",75.5,"0.57","3.6","22%",336,2020-03-01
"BIOLOGICAL MEDIA SERVICES","20",139.5,"1","6.97","22%",640,2020-05-01
"BIOLOGICAL MEDIA SERVICES","20",154,"0.91","7","22%",704,2020-06-01
"COMMUNITY SURGERY","38",319,"1.9","15.95","22%",1432,2021-05-01
"CLINICAL LABORATORIES","72",551.75,"3.43","26.27","22%",2511.6,2021-10-01
"OPHTHALMOLOGY","23",186,"1.15","9.3","22%",832,2022-01-01
"COMMUNITY SURGERY","42",349.75,"1.91","15.9","22%",1575.2,2022-03-01
"B BARN","16",127.75,"0.76","6.08","22%",588,2022-06-01
"SA ULTRASOUND","5",40,"0.22","1.74","22%",184,2022-08-01
"CENTRAL SERVICE","39",318,"2.05","16.74","22%",1459.2,2022-11-01
"LA FEED & BEDDING","45",311,"2.14","14.81","21%",1512,2020-03-01
"SA MEDICINE","67",547.25,"3.05","24.88","21%",2640,2020-04-01
"PERSONNEL/PAYROLL","13",100,"0.59","4.55","21%",484,2020-07-01
"BIOLOGICAL MEDIA SERVICES","17",126,"0.89","6.63","21%",608,2021-01-01
"LA FEED & BEDDING","43",335.25,"1.95","15.24","21%",1584,2021-04-01
"ADMINISTRATION OVERHEAD","35",272,"1.75","13.6","21%",1312,2021-05-01
"OPHTHALMOLOGY","20",196,"0.91","8.91","21%",915.2,2021-08-01
"PHARMACY","36",323.75,"1.64","14.72","21%",1566.4,2021-08-01
"SA SX SUPPORT","42",369,"1.91","16.77","21%",1742.4,2022-03-01
"SA CARDIOLOGY","18",141.5,"0.86","6.74","21%",688.8,2022-06-01
"LIVESTOCK","32",263.25,"1.39","11.45","21%",1242,2022-08-01
"SA CARDIOLOGY","21",159.75,"0.91","6.95","21%",754.4,2022-08-01
"COMMUNITY SURGERY","45",346,"1.96","15.04","21%",1646.8,2022-08-01
"SA SX SUPPORT","41",332.5,"1.95","15.83","20%",1663.2,2020-03-01
"RADIOLOGY","83",638.75,"3.95","30.42","20%",3208.8,2020-03-01
"NEURO","39",376,"1.95","18.8","20%",1920,2020-05-01
"LA FEED & BEDDING","42",322.75,"1.91","14.67","20%",1584,2020-06-01
"SA INTEGRATIVE MEDICINE","14",106.25,"0.67","5.06","20%",537.6,2020-08-01
"SA INTEGRATIVE MEDICINE","14",114.25,"0.64","5.19","20%",563.2,2020-10-01
"SA SX SUPPORT","38",350,"1.73","15.91","20%",1742.4,2021-04-01
"SA CARDIOLOGY","17",134,"0.85","6.7","20%",656,2021-05-01
"SA SX SUPPORT","38",305,"2","16.05","20%",1504.8,2022-02-01
"COMMUNITY SURGERY","35",304.5,"1.67","14.5","20%",1503.6,2022-05-01
"SA INTEGRATIVE MEDICINE","14",109.75,"0.67","5.23","20%",537.6,2022-06-01
"FINANCIAL SERVICES","17",136,"0.81","6.48","20%",672,2022-06-01
"COMMUNITY SURGERY","38",305.25,"1.81","14.54","20%",1503.6,2022-09-01
"PHARMACY","43",303.75,"1.95","13.81","19%",1566.4,2020-04-01
"LA FEED & BEDDING","36",294,"1.71","14","19%",1512,2020-08-01
"BIOLOGICAL MEDIA SERVICES","18",130.25,"0.86","6.2","19%",672,2020-09-01
"SA ULTRASOUND","4",32,"0.19","1.52","19%",168,2020-09-01
"FINANCIAL SERVICES","18",124,"0.9","6.2","19%",640,2020-12-01
"LA FEED & BEDDING","39",296.75,"1.77","13.49","19%",1584,2021-03-01
"CENTRAL SERVICE","42",303.5,"2","14.45","19%",1612.8,2021-06-01
"CLINICAL LABORATORIES","63",470.25,"3","22.39","19%",2511.6,2021-07-01
"SA INTEGRATIVE MEDICINE","12",104,"0.57","4.95","19%",537.6,2022-05-01
"SA COMMUNITY SERVICE","24",220.5,"1.14","10.5","19%",1176,2022-10-01
"NEURO","38",355.5,"1.81","16.93","18%",2016,2020-03-01
"ANESTHESIA","78",642.75,"3.71","30.61","18%",3662.4,2020-03-01
"SMALL ANIMAL PATIENT CARE","186",1380.75,"8.86","65.75","18%",7652.4,2020-03-01
"LIVESTOCK","30",211.25,"1.36","9.6","18%",1188,2020-04-01
"CLIENT SERVICES","154",1217,"7.7","60.85","18%",6640,2020-05-01
"CLIENT SERVICES","164",1284.75,"7.45","58.4","18%",7304,2020-06-01
"SA INTEGRATIVE MEDICINE","12",99,"0.55","4.5","18%",563.2,2020-07-01
"SA ULTRASOUND","4",32,"0.18","1.45","18%",176,2020-07-01
"COMMUNITY SURGERY","34",291,"1.55","13.23","18%",1575.2,2020-10-01
"SA ULTRASOUND","4",32,"0.18","1.45","18%",176,2020-10-01
"CLIENT SERVICES","163",1295,"7.41","58.86","18%",7304,2020-10-01
"SA ULTRASOUND","4",28.5,"0.2","1.43","18%",160,2020-12-01
"CENTRAL SERVICE","35",282.25,"1.75","14.11","18%",1536,2020-12-01
"CLIENT SERVICES","152",1200.75,"7.6","60.04","18%",6640,2020-12-01
"CENTRAL SERVICE","35",276.5,"1.75","13.82","18%",1536,2021-05-01
"DENTISTRY","10",77,"0.48","3.67","18%",436.8,2021-06-01
"CLINICAL LABORATORIES","62",465.25,"2.82","21.15","18%",2631.2,2021-08-01
"CLINICAL LABORATORIES","60",434.5,"3","21.73","18%",2392,2021-12-01
"RADIOLOGY","71",558.5,"3.55","27.92","18%",3056,2022-01-01
"CENTRAL SERVICE","33",269.75,"1.65","13.49","18%",1536,2022-01-01
"LIVESTOCK","23",194,"1.15","9.7","18%",1080,2022-07-01
"SA CARDIOLOGY","16",115.75,"0.8","5.79","18%",656,2022-07-01
"LIVESTOCK","25",206,"1.19","9.81","18%",1134,2022-09-01
"CENTRAL SERVICE","37",288,"1.76","13.71","18%",1612.8,2022-09-01
"OPHTHALMOLOGY","19",151.5,"0.9","7.21","17%",873.6,2020-03-01
"CLINICAL LABORATORIES","57",421,"2.71","20.05","17%",2511.6,2020-03-01
"CLINICAL LABORATORIES","67",454.5,"3.05","20.66","17%",2631.2,2020-07-01
"CLIENT SERVICES","151",1188,"7.19","56.57","17%",6972,2020-08-01
"COMMUNITY SURGERY","33",250.5,"1.57","11.93","17%",1503.6,2020-09-01
"BIOLOGICAL MEDIA SERVICES","18",122,"0.82","5.55","17%",704,2020-10-01
"SA SX SUPPORT","29",264,"1.45","13.2","17%",1584,2021-05-01
"LA FEED & BEDDING","32",246,"1.6","12.3","17%",1440,2021-05-01
"ORTHOPEDIC SURGERY","33",284,"1.57","13.52","17%",1659.84,2021-07-01
"RADIOLOGY","69",541.75,"3.29","25.8","17%",3208.8,2021-10-01
"CLINICAL LABORATORIES","51",391.5,"2.68","20.61","17%",2272.4,2022-02-01
"CLINICAL LABORATORIES","55",425.25,"2.62","20.25","17%",2511.6,2022-06-01
"SA CARDIOLOGY","15",114.75,"0.71","5.46","17%",688.8,2022-10-01
"B BARN","12",91.5,"0.63","4.82","17%",532,2022-11-01
"SA CARDIOLOGY","16",112,"0.76","5.33","16%",688.8,2020-03-01
"SA ICU","108",822.25,"4.91","37.38","16%",5262.4,2020-04-01
"PATHOLOGY","64",509.75,"2.91","23.17","16%",3212,2020-04-01
"CENTRAL SERVICE","30",242,"1.5","12.1","16%",1536,2020-05-01
"SA ULTRASOUND","4",28.25,"0.18","1.28","16%",176,2020-06-01
"SA MEDICINE","48",433,"2.18","19.68","16%",2640,2020-07-01
"CLIENT SERVICES","146",1151,"6.64","52.32","16%",7304,2020-07-01
"SA CARDIOLOGY","13",104,"0.65","5.2","16%",656,2020-12-01
"NEURO","38",310.5,"1.9","15.53","16%",1920,2020-12-01
"ORTHOPEDIC SURGERY","30",251.25,"1.5","12.56","16%",1580.8,2020-12-01
"ANESTHESIA","67",546,"3.35","27.3","16%",3488,2020-12-01
"CLIENT SERVICES","131",979.25,"6.89","51.54","16%",6308,2021-01-01
"COMMUNITY SURGERY","30",256,"1.36","11.64","16%",1575.2,2021-04-01
"SA SX SUPPORT","27",258.75,"1.29","12.32","16%",1663.2,2021-06-01
"CENTRAL SERVICE","34",259.25,"1.62","12.35","16%",1612.8,2021-07-01
"COMP AVIAN","28",214,"1.27","9.73","16%",1302.4,2021-08-01
"RADIOLOGY","64",511,"3.05","24.33","16%",3208.8,2021-09-01
"LIVESTOCK","24",194.25,"1.09","8.83","16%",1188,2022-03-01
"OPHTHALMOLOGY","18",135.5,"0.86","6.45","16%",873.6,2022-04-01
"SA COMMUNITY SERVICE","20",185.25,"0.95","8.82","16%",1176,2022-04-01
"DENTISTRY","9",68.25,"0.43","3.25","16%",436.8,2022-06-01
"B BARN","12",93.25,"0.57","4.44","16%",588,2022-09-01
"PERSONNEL/PAYROLL","9",72,"0.43","3.43","16%",462,2022-09-01
"CLINICAL LABORATORIES","49",370.75,"2.33","17.65","15%",2511.6,2020-01-01
"LA FEED & BEDDING","27",207,"1.42","10.89","15%",1368,2020-02-01
"COMP AVIAN","25",198,"1.14","9","15%",1302.4,2020-04-01
"SA MEDICINE","39",348.5,"1.95","17.42","15%",2400,2020-05-01
"ANESTHESIA","67",589.25,"3.05","26.78","15%",3836.8,2020-07-01
"SA CARDIOLOGY","13",104,"0.62","4.95","15%",688.8,2020-08-01
"SA INTEGRATIVE MEDICINE","10",78,"0.48","3.71","15%",537.6,2020-09-01
"ANESTHESIA","70",578,"3.18","26.27","15%",3836.8,2020-10-01
"COMMUNITY SURGERY","24",197.25,"1.33","10.96","15%",1288.8,2020-11-01
"BEHAVIOR","7",48,"0.35","2.4","15%",320,2020-12-01
"LA FEED & BEDDING","28",212,"1.4","10.6","15%",1440,2020-12-01
"LA FEED & BEDDING","27",199,"1.42","10.47","15%",1368,2021-01-01
"COMMUNITY SURGERY","27",219.5,"1.29","10.45","15%",1503.6,2021-06-01
"ADMINISTRATION OVERHEAD","26",208,"1.24","9.9","15%",1377.6,2021-06-01
"ORTHOPEDIC SURGERY","30",264.5,"1.36","12.02","15%",1738.88,2021-08-01
"ORTHOPEDIC SURGERY","28",247.5,"1.33","11.79","15%",1659.84,2021-09-01
"LA FEED & BEDDING","30",220,"1.43","10.48","15%",1512,2021-09-01
"CLINICAL LABORATORIES","57",387.5,"2.71","18.45","15%",2511.6,2021-09-01
"COMP AVIAN","23",180.5,"1.1","8.6","15%",1243.2,2021-10-01
"LA FEED & BEDDING","27",206,"1.42","10.84","15%",1368,2021-11-01
"CLINICAL LABORATORIES","46",336.5,"2.42","17.71","15%",2272.4,2021-11-01
"NEURO","34",291.25,"1.7","14.56","15%",1920,2021-12-01
"COMMUNITY SURGERY","27",219.5,"1.35","10.97","15%",1432,2022-01-01
"CLINICAL LABORATORIES","46",358.25,"2.3","17.91","15%",2392,2022-01-01
"SA MEDICINE","45",375.25,"2.14","17.87","15%",2520,2022-04-01
"COMP AVIAN","25",186.75,"1.19","8.89","15%",1243.2,2022-05-01
"COMMUNITY SURGERY","29",229.25,"1.38","10.92","15%",1503.6,2022-06-01
"SA SX SUPPORT","30",256.25,"1.43","12.2","15%",1663.2,2022-06-01
"CENTRAL SERVICE","31",239.75,"1.48","11.42","15%",1612.8,2022-06-01
"CLIENT SERVICES","135",1027.25,"6.43","48.92","15%",6972,2022-06-01
"COMP AVIAN","21",181.25,"1.05","9.06","15%",1184,2022-07-01
"ANESTHESIA","59",512.75,"2.95","25.64","15%",3488,2022-07-01
"SA ULTRASOUND","3",24,"0.15","1.2","15%",160,2022-07-01
"CLINICAL LABORATORIES","51",412,"2.22","17.91","15%",2750.8,2022-08-01
"CENTRAL SERVICE","32",260.25,"1.39","11.32","15%",1766.4,2022-08-01
"SA CARDIOLOGY","13",102.5,"0.62","4.88","15%",688.8,2022-09-01
"ORTHOPEDIC SURGERY","23",204,"1.21","10.74","14%",1501.76,2020-02-01
"LAM - EQUINE","123",965,"5.86","45.95","14%",7047.6,2020-03-01
"CENTRAL SERVICE","30",223.5,"1.43","10.64","14%",1612.8,2020-03-01
"SA CARDIOLOGY","14",92.25,"0.7","4.61","14%",656,2020-05-01
"SA COMMUNITY SERVICE","20",153.5,"1","7.68","14%",1120,2020-05-01
"ANESTHESIA","61",490.5,"3.05","24.52","14%",3488,2020-05-01
"SA SX SUPPORT","27",226.75,"1.35","11.34","14%",1584,2020-05-01
"COMMUNITY SURGERY","25",222,"1.14","10.09","14%",1575.2,2020-06-01
"PHARMACY","31",221.75,"1.41","10.08","14%",1566.4,2020-07-01
"SMALL ANIMAL PATIENT CARE","148",1059.25,"7.05","50.44","14%",7652.4,2020-08-01
"CLINICAL LABORATORIES","48",340.5,"2.29","16.21","14%",2511.6,2020-08-01
"CLIENT SERVICES","110",864,"6.11","48","14%",5976,2020-11-01
"CLIENT SERVICES","123",896,"6.47","47.16","14%",6308,2021-02-01
"SA SX SUPPORT","25",238,"1.14","10.82","14%",1742.4,2021-03-01
"CLIENT SERVICES","142",1011,"6.45","45.95","14%",7304,2021-03-01
"DERMATOLOGY","6",48,"0.27","2.18","14%",352,2021-03-01
"BIOLOGICAL MEDIA SERVICES","13",102,"0.59","4.64","14%",704,2021-04-01
"PERSONNEL/PAYROLL","9",62,"0.45","3.1","14%",440,2021-05-01
"ANESTHESIA","62",523.25,"2.95","24.92","14%",3662.4,2021-07-01
"COMMUNITY SURGERY","28",223.75,"1.27","10.17","14%",1575.2,2021-08-01
"SMALL ANIMAL PATIENT CARE","148",1061.75,"7.05","50.56","14%",7652.4,2021-09-01
"DERMATOLOGY","6",48,"0.29","2.29","14%",336,2021-09-01
"ANESTHESIA","56",502.5,"2.67","23.93","14%",3662.4,2021-10-01
"SA MEDICINE","43",347,"2.15","17.35","14%",2400,2021-12-01
"LA FEED & BEDDING","27",206,"1.35","10.3","14%",1440,2021-12-01
"SA CARDIOLOGY","12",94,"0.6","4.7","14%",656,2022-01-01
"BEHAVIOR","7",45.5,"0.33","2.17","14%",336,2022-04-01
"ANESTHESIA","65",516.5,"3.1","24.6","14%",3662.4,2022-04-01
"SA ULTRASOUND","3",24,"0.14","1.14","14%",168,2022-04-01
"PERSONNEL/PAYROLL","8",64,"0.38","3.05","14%",462,2022-05-01
"NEURO","32",268.5,"1.6","13.43","14%",1920,2022-07-01
"NUTRITION","6",48,"0.3","2.4","14%",336,2022-07-01
"SA INTEGRATIVE MEDICINE","8",70,"0.4","3.5","14%",512,2022-07-01
"NUTRITION","8",56,"0.35","2.43","14%",386.4,2022-08-01
"SA ULTRASOUND","3",24,"0.14","1.14","14%",168,2022-09-01
"SA ULTRASOUND","3",24,"0.14","1.14","14%",168,2022-10-01
"SA CARDIOLOGY","11",89.25,"0.58","4.7","14%",623.2,2022-11-01
"LIVESTOCK","27",150.5,"1.29","7.17","13%",1134,2020-03-01
"ORTHOPEDIC SURGERY","25",201,"1.25","10.05","13%",1580.8,2020-05-01
"NEURO","30",266,"1.36","12.09","13%",2112,2020-06-01
"SMALL ANIMAL PATIENT CARE","136",1014.75,"6.18","46.12","13%",8016.8,2020-06-01
"CLINICAL LABORATORIES","48",331.25,"2.18","15.06","13%",2631.2,2020-06-01
"PHARMACY","28",200,"1.27","9.09","13%",1566.4,2020-06-01
"ORTHOPEDIC SURGERY","26",219.75,"1.18","9.99","13%",1738.88,2020-07-01
"SMALL ANIMAL PATIENT CARE","141",1075.25,"6.41","48.88","13%",8016.8,2020-07-01
"ADMINISTRATION OVERHEAD","24",184,"1.09","8.36","13%",1443.2,2020-07-01
"NEURO","32",257,"1.52","12.24","13%",2016,2020-08-01
"COMMUNITY SURGERY","24",199.25,"1.14","9.49","13%",1503.6,2020-08-01
"SA SX SUPPORT","23",220.5,"1.1","10.5","13%",1663.2,2020-08-01
"SMALL ANIMAL PATIENT CARE","147",1043.25,"6.68","47.42","13%",8016.8,2020-10-01
"CLINICAL LABORATORIES","45",336.5,"2.05","15.3","13%",2631.2,2020-10-01
"ANESTHESIA","52",417.5,"2.89","23.19","13%",3139.2,2020-11-01
"LA FEED & BEDDING","22",169,"1.22","9.39","13%",1296,2020-11-01
"ORTHOPEDIC SURGERY","24",206,"1.2","10.3","13%",1580.8,2021-05-01
"LIVESTOCK","17",142,"0.81","6.76","13%",1134,2021-06-01
"SMALL ANIMAL PATIENT CARE","129",965.75,"6.14","45.99","13%",7652.4,2021-06-01
"CLINICAL LABORATORIES","44",330,"2.1","15.71","13%",2511.6,2021-06-01
"PERSONNEL/PAYROLL","7",58,"0.33","2.76","13%",462,2021-07-01
"SA SX SUPPORT","27",218.75,"1.23","9.94","13%",1742.4,2021-08-01
"FINANCIAL SERVICES","12",92,"0.55","4.18","13%",704,2021-08-01
"ORTHOPEDIC SURGERY","25",214.5,"1.19","10.21","13%",1659.84,2021-10-01
"SMALL ANIMAL PATIENT CARE","143",1003.5,"6.81","47.79","13%",7652.4,2021-10-01
"LIVESTOCK","16",130,"0.84","6.84","13%",1026,2021-11-01
"OPHTHALMOLOGY","11",105,"0.58","5.53","13%",790.4,2021-11-01
"ANESTHESIA","54",443.75,"2.7","22.19","13%",3488,2021-12-01
"ANESTHESIA","53",456.25,"2.65","22.81","13%",3488,2022-01-01
"LA FEED & BEDDING","24",192,"1.2","9.6","13%",1440,2022-01-01
"SA CARDIOLOGY","11",81.5,"0.58","4.29","13%",623.2,2022-02-01
"SA MEDICINE","38",341.5,"1.73","15.52","13%",2640,2022-03-01
"CLINICAL LABORATORIES","42",328.5,"2","15.64","13%",2511.6,2022-04-01
"FINANCIAL SERVICES","11",88,"0.52","4.19","13%",672,2022-04-01
"CLIENT SERVICES","115",905.5,"5.48","43.12","13%",6972,2022-05-01
"ANESTHESIA","54",472.5,"2.57","22.5","13%",3662.4,2022-06-01
"ADMINISTRATION OVERHEAD","23",180,"1.1","8.57","13%",1377.6,2022-06-01
