"Department","Total_Absent_People","Total_Absent_Hours","Average_Absent_People","Average_Absent_Hours","Absent_Rate","total_worked","month"
"SA MEDICINE","35",310,"1.75","15.5","13%",2400,2022-07-01
"COMP AVIAN","21",180.75,"0.91","7.86","13%",1361.6,2022-08-01
"ANESTHESIA","59",516.5,"2.57","22.46","13%",4011.2,2022-08-01
"DERMATOLOGY","6",48,"0.26","2.09","13%",368,2022-08-01
"ANESTHESIA","54",471,"2.57","22.43","13%",3662.4,2022-09-01
"LIVESTOCK","17",142,"0.81","6.76","13%",1134,2022-10-01
"NEURO","29",270.5,"1.38","12.88","13%",2016,2022-10-01
"SA INTEGRATIVE MEDICINE","9",72,"0.43","3.43","13%",537.6,2022-10-01
"ANESTHESIA","55",465,"2.62","22.14","13%",3662.4,2022-10-01
"LA FEED & BEDDING","25",202,"1.19","9.62","13%",1512,2022-10-01
"CLINICAL LABORATORIES","39",286.25,"2.05","15.07","13%",2272.4,2022-11-01
"ORTHOPEDIC SURGERY","24",206.5,"1.14","9.83","12%",1659.84,2020-01-01
"SA SURGERY","23",183.5,"1.05","8.34","12%",1584,2020-04-01
"ADMINISTRATION OVERHEAD","23",171.75,"1.05","7.81","12%",1443.2,2020-04-01
"SA ICU","70",552,"3.5","27.6","12%",4784,2020-05-01
"SMALL ANIMAL PATIENT CARE","122",898.75,"6.1","44.94","12%",7288,2020-05-01
"COMP AVIAN","19",152,"0.86","6.91","12%",1302.4,2020-06-01
"ONCOLOGIES","39",304.75,"1.77","13.85","12%",2446.4,2020-07-01
"CENTRAL SERVICE","23",197.5,"1.05","8.98","12%",1689.6,2020-07-01
"SA MEDICINE","33",291,"1.57","13.86","12%",2520,2020-08-01
"SA ULTRASOUND","3",20.5,"0.14","0.98","12%",168,2020-08-01
"SMALL ANIMAL PATIENT CARE","117",882.25,"5.57","42.01","12%",7652.4,2020-09-01
"CLIENT SERVICES","110",867.25,"5.24","41.3","12%",6972,2020-09-01
"BIOLOGICAL MEDIA SERVICES","9",68,"0.5","3.78","12%",576,2020-11-01
"SMALL ANIMAL PATIENT CARE","103",769.5,"5.72","42.75","12%",6559.2,2020-11-01
"CLINICAL LABORATORIES","36",266.75,"2","14.82","12%",2152.8,2020-11-01
"CENTRAL SERVICE","20",164,"1.11","9.11","12%",1382.4,2020-11-01
"DENTISTRY","6",51,"0.3","2.55","12%",416,2020-12-01
"COMMUNITY SURGERY","23",171.75,"1.15","8.59","12%",1432,2020-12-01
"ADMINISTRATION OVERHEAD","19",154,"0.95","7.7","12%",1312,2020-12-01
"SA SX SUPPORT","20",184,"1.05","9.68","12%",1504.8,2021-02-01
"CLINICAL LABORATORIES","36",280,"1.89","14.74","12%",2272.4,2021-02-01
"SA ICU","77",643.75,"3.5","29.26","12%",5262.4,2021-03-01
"ANESTHESIA","57",453.25,"2.59","20.6","12%",3836.8,2021-03-01
"SA CARDIOLOGY","11",86,"0.5","3.91","12%",721.6,2021-04-01
"NEURO","30",260,"1.36","11.82","12%",2112,2021-04-01
"CENTRAL SERVICE","25",194.5,"1.14","8.84","12%",1689.6,2021-04-01
"SA ICU","69",589.25,"3.29","28.06","12%",5023.2,2021-06-01
"LIVESTOCK","16",139,"0.76","6.62","12%",1134,2021-07-01
"SMALL ANIMAL PATIENT CARE","122",896.25,"5.81","42.68","12%",7652.4,2021-07-01
"LA FEED & BEDDING","25",182.5,"1.19","8.69","12%",1512,2021-07-01
"RADIOLOGY","46",371,"2.19","17.67","12%",3208.8,2021-07-01
"DERMATOLOGY","5",40,"0.24","1.9","12%",336,2021-07-01
"SA ICU","73",642.75,"3.32","29.22","12%",5262.4,2021-08-01
"ANESTHESIA","50",446,"2.27","20.27","12%",3836.8,2021-08-01
"CLIENT SERVICES","119",862,"5.41","39.18","12%",7304,2021-08-01
"SA CARDIOLOGY","10",80,"0.5","4","12%",656,2021-12-01
"CENTRAL SERVICE","22",177.25,"1.1","8.86","12%",1536,2021-12-01
"COMMUNITY SURGERY","21",175.5,"1","8.36","12%",1503.6,2022-04-01
"SA COMMUNITY SERVICE","16",138.75,"0.76","6.61","12%",1176,2022-05-01
"ANESTHESIA","50",426.5,"2.38","20.31","12%",3662.4,2022-05-01
"SA SX SUPPORT","24",195,"1.14","9.29","12%",1663.2,2022-05-01
"CENTRAL SERVICE","25",199,"1.19","9.48","12%",1612.8,2022-05-01
"DERMATOLOGY","6",41.5,"0.29","1.98","12%",336,2022-06-01
"BEHAVIOR","6",38,"0.3","1.9","12%",320,2022-07-01
"CENTRAL SERVICE","24",192,"1.2","9.6","12%",1536,2022-07-01
"COMP AVIAN","15",144,"0.71","6.86","12%",1243.2,2022-09-01
"CLINICAL LABORATORIES","42",300.5,"2","14.31","12%",2511.6,2022-09-01
"SMALL ANIMAL PATIENT CARE","113",893.25,"5.38","42.54","12%",7652.4,2022-10-01
"CENTRAL SERVICE","26",199,"1.24","9.48","12%",1612.8,2022-10-01
"SA SX SUPPORT","24",187,"1.26","9.84","12%",1504.8,2022-11-01
"PHARMACY","23",158.5,"1.1","7.55","11%",1495.2,2020-01-01
"SA MEDICINE","36",274.75,"1.71","13.08","11%",2520,2020-03-01
"ONCOLOGIES","35",261,"1.67","12.43","11%",2335.2,2020-03-01
"SA COMMUNITY SERVICE","17",123.75,"0.81","5.89","11%",1176,2020-03-01
"SA SURGERY","19",165.75,"0.9","7.89","11%",1512,2020-03-01
"PHARMACY","26",171.75,"1.24","8.18","11%",1495.2,2020-03-01
"ONCOLOGIES","37",249.25,"1.85","12.46","11%",2224,2020-05-01
"SA ICU","68",553.5,"3.09","25.16","11%",5262.4,2020-06-01
"NUTRITION","5",40,"0.23","1.82","11%",369.6,2020-07-01
"PHARMACY","19",144.5,"1.06","8.03","11%",1281.6,2020-11-01
"PERSONNEL/PAYROLL","5",42,"0.28","2.33","11%",396,2020-11-01
"SA COMMUNITY SERVICE","16",121,"0.8","6.05","11%",1120,2020-12-01
"ANESTHESIA","46",379.25,"2.42","19.96","11%",3313.6,2021-01-01
"CLINICAL LABORATORIES","33",251.75,"1.74","13.25","11%",2272.4,2021-01-01
"SA ULTRASOUND","2",16,"0.11","0.84","11%",152,2021-01-01
"SMALL ANIMAL PATIENT CARE","106",771.75,"5.58","40.62","11%",6923.6,2021-02-01
"COMMUNITY SURGERY","21",173.5,"0.95","7.89","11%",1575.2,2021-03-01
"PATHOLOGY","48",365.5,"2.18","16.61","11%",3212,2021-03-01
"CLINICAL LABORATORIES","39",268,"1.95","13.4","11%",2392,2021-05-01
"RADIOLOGY","40",323,"2","16.15","11%",3056,2021-05-01
"LA FEED & BEDDING","24",167,"1.14","7.95","11%",1512,2021-06-01
"RADIOLOGY","46",367.5,"2.19","17.5","11%",3208.8,2021-06-01
"FINANCIAL SERVICES","10",73.5,"0.48","3.5","11%",672,2021-06-01
"SA ICU","65",575.75,"3.1","27.42","11%",5023.2,2021-07-01
"PHARMACY","24",161.5,"1.14","7.69","11%",1495.2,2021-07-01
"CLIENT SERVICES","100",779.5,"4.76","37.12","11%",6972,2021-07-01
"SMALL ANIMAL PATIENT CARE","117",844,"5.32","38.36","11%",8016.8,2021-08-01
"DERMATOLOGY","5",40,"0.23","1.82","11%",352,2021-08-01
"SA INTEGRATIVE MEDICINE","8",60,"0.38","2.86","11%",537.6,2021-09-01
"ANESTHESIA","45",411,"2.14","19.57","11%",3662.4,2021-09-01
"ADMINISTRATION OVERHEAD","19",146,"0.9","6.95","11%",1377.6,2021-09-01
"PERSONNEL/PAYROLL","7",49,"0.33","2.33","11%",462,2021-09-01
"CLIENT SERVICES","101",791.5,"4.81","37.69","11%",6972,2021-09-01
"NEURO","27",230.75,"1.29","10.99","11%",2016,2021-10-01
"SA MEDICINE","30",242,"1.58","12.74","11%",2280,2021-11-01
"COMMUNITY SURGERY","19",149.25,"1","7.86","11%",1360.4,2021-11-01
"ORTHOPEDIC SURGERY","18",159,"0.95","8.37","11%",1501.76,2021-11-01
"ADMINISTRATION OVERHEAD","18",140,"0.9","7","11%",1312,2021-12-01
"FINANCIAL SERVICES","9",72,"0.45","3.6","11%",640,2021-12-01
"CLIENT SERVICES","92",702.75,"4.6","35.14","11%",6640,2022-01-01
"OPHTHALMOLOGY","12",88.25,"0.63","4.64","11%",790.4,2022-02-01
"SA ULTRASOUND","2",16,"0.11","0.84","11%",152,2022-02-01
"CENTRAL SERVICE","23",180.75,"1.1","8.61","11%",1612.8,2022-04-01
"CLIENT SERVICES","95",736.75,"4.52","35.08","11%",6972,2022-04-01
"NEURO","25",220.75,"1.19","10.51","11%",2016,2022-05-01
"SMALL ANIMAL PATIENT CARE","108",830.25,"5.14","39.54","11%",7652.4,2022-05-01
"NUTRITION","5",40,"0.24","1.9","11%",352.8,2022-06-01
"SMALL ANIMAL PATIENT CARE","101",779.75,"5.05","38.99","11%",7288,2022-07-01
"NEURO","27",246.25,"1.17","10.71","11%",2208,2022-08-01
"SA SX SUPPORT","25",192.25,"1.09","8.36","11%",1821.6,2022-08-01
"CLIENT SERVICES","114",861.25,"4.96","37.45","11%",7636,2022-08-01
"CLIENT SERVICES","101",774.75,"4.81","36.89","11%",6972,2022-09-01
"OPHTHALMOLOGY","12",97.5,"0.57","4.64","11%",873.6,2022-10-01
"COMMUNITY SURGERY","22",172.5,"1.05","8.21","11%",1503.6,2022-10-01
"COMP AVIAN","16",133.25,"0.76","6.35","11%",1243.2,2022-10-01
"SA SX SUPPORT","21",185.25,"1","8.82","11%",1663.2,2022-10-01
"ANESTHESIA","40",360.5,"2.11","18.97","11%",3313.6,2022-11-01
"SA ULTRASOUND","2",16,"0.11","0.84","11%",152,2022-11-01
"LA FEED & BEDDING","20",144.5,"0.95","6.88","10%",1512,2020-01-01
"RADIOLOGY","40",309.75,"1.9","14.75","10%",3208.8,2020-01-01
"BIOLOGICAL MEDIA SERVICES","8",59,"0.42","3.11","10%",608,2020-02-01
"LIVESTOCK","14",103,"0.7","5.15","10%",1080,2020-05-01
"SA SX SUPPORT","20",166,"0.91","7.55","10%",1742.4,2020-07-01
"DENTISTRY","5",44,"0.24","2.1","10%",436.8,2020-08-01
"ONCOLOGIES","29",225.5,"1.38","10.74","10%",2335.2,2020-09-01
"ANESTHESIA","48",384,"2.29","18.29","10%",3662.4,2020-09-01
"SA SX SUPPORT","19",162,"0.9","7.71","10%",1663.2,2020-09-01
"CENTRAL SERVICE","19",154,"0.9","7.33","10%",1612.8,2020-09-01
"SA MEDICINE","36",274,"1.64","12.45","10%",2640,2020-10-01
"COMP AVIAN","16",128,"0.73","5.82","10%",1302.4,2020-10-01
"LA FEED & BEDDING","21",153,"0.95","6.95","10%",1584,2020-10-01
"SA MEDICINE","28",211.25,"1.56","11.74","10%",2160,2020-11-01
"LIVESTOCK","12",95,"0.67","5.28","10%",972,2020-11-01
"COMP AVIAN","14",108,"0.78","6","10%",1065.6,2020-11-01
"CLINICAL LABORATORIES","34",233.25,"1.7","11.66","10%",2392,2020-12-01
"RADIOLOGY","35",278.75,"1.84","14.67","10%",2903.2,2021-02-01
"NUTRITION","5",38,"0.23","1.73","10%",369.6,2021-04-01
"ANESTHESIA","46",370,"2.09","16.82","10%",3836.8,2021-04-01
"CLINICAL LABORATORIES","40",267.5,"1.82","12.16","10%",2631.2,2021-04-01
"PATHOLOGY","42",334,"1.91","15.18","10%",3212,2021-04-01
"CLIENT SERVICES","102",721.75,"4.64","32.81","10%",7304,2021-04-01
"LIVESTOCK","14",111.25,"0.7","5.56","10%",1080,2021-05-01
"SA ICU","58",466.75,"2.9","23.34","10%",4784,2021-05-01
"SMALL ANIMAL PATIENT CARE","105",704.5,"5.25","35.23","10%",7288,2021-05-01
"NUTRITION","5",34.75,"0.24","1.65","10%",352.8,2021-06-01
"COMP AVIAN","16",120,"0.76","5.71","10%",1243.2,2021-07-01
"FINANCIAL SERVICES","8",64,"0.38","3.05","10%",672,2021-07-01
"LIVESTOCK","15",122,"0.68","5.55","10%",1188,2021-08-01
"SA MEDICINE","35",254,"1.67","12.1","10%",2520,2021-10-01
"LA FEED & BEDDING","18",144,"0.86","6.86","10%",1512,2021-10-01
"SA ULTRASOUND","2",16,"0.1","0.76","10%",168,2021-10-01
"PERSONNEL/PAYROLL","5",44,"0.24","2.1","10%",462,2021-10-01
"ANESTHESIA","37",332.25,"1.95","17.49","10%",3313.6,2021-11-01
"PERSONNEL/PAYROLL","5",40,"0.26","2.11","10%",418,2021-11-01
"BEHAVIOR","4",31,"0.2","1.55","10%",320,2021-12-01
"ONCOLOGIES","29",227.75,"1.45","11.39","10%",2224,2021-12-01
"COMMUNITY SURGERY","17",146,"0.85","7.3","10%",1432,2021-12-01
"SA SX SUPPORT","19",160,"0.95","8","10%",1584,2021-12-01
"SA ULTRASOUND","2",16,"0.1","0.8","10%",160,2021-12-01
"DENTISTRY","5",41,"0.25","2.05","10%",416,2022-01-01
"PHARMACY","20",137.5,"1","6.88","10%",1424,2022-01-01
"DENTISTRY","5",39.5,"0.26","2.08","10%",395.2,2022-02-01
"LAM - EQUINE","82",634,"4.32","33.37","10%",6376.4,2022-02-01
"FINANCIAL SERVICES","9",60,"0.47","3.16","10%",608,2022-02-01
"NEURO","25",214,"1.14","9.73","10%",2112,2022-03-01
"LA FEED & BEDDING","20",156.5,"0.91","7.11","10%",1584,2022-03-01
"CLINICAL LABORATORIES","36",261.25,"1.64","11.88","10%",2631.2,2022-03-01
"NUTRITION","5",34.5,"0.24","1.64","10%",352.8,2022-04-01
"LA FEED & BEDDING","20",156,"0.95","7.43","10%",1512,2022-04-01
"B BARN","7",56,"0.33","2.67","10%",588,2022-04-01
"LIVESTOCK","13",108,"0.62","5.14","10%",1134,2022-05-01
"SA CARDIOLOGY","9",66.5,"0.43","3.17","10%",688.8,2022-05-01
"SA ULTRASOUND","2",16,"0.1","0.76","10%",168,2022-05-01
"LIVESTOCK","14",112,"0.67","5.33","10%",1134,2022-06-01
"NEURO","23",195.5,"1.1","9.31","10%",2016,2022-06-01
"ONCOLOGIES","27",222,"1.29","10.57","10%",2335.2,2022-06-01
"SA ULTRASOUND","2",16,"0.1","0.76","10%",168,2022-06-01
"COMMUNITY SURGERY","20",148.25,"1","7.41","10%",1432,2022-07-01
"LA FEED & BEDDING","18",140,"0.9","7","10%",1440,2022-07-01
"RADIOLOGY","37",294,"1.85","14.7","10%",3056,2022-07-01
"SA MEDICINE","29",268,"1.26","11.65","10%",2760,2022-08-01
"ADMINISTRATION OVERHEAD","19",146,"0.83","6.35","10%",1508.8,2022-08-01
"BEHAVIOR","5",35,"0.24","1.67","10%",336,2022-09-01
"OPHTHALMOLOGY","11",84.25,"0.52","4.01","10%",873.6,2022-09-01
"LA FEED & BEDDING","17",145,"0.81","6.9","10%",1512,2022-09-01
"PATHOLOGY","39",295.75,"1.86","14.08","10%",3066,2022-09-01
"CLINICAL LABORATORIES","33",240,"1.57","11.43","10%",2511.6,2022-10-01
"CLIENT SERVICES","100",707,"4.76","33.67","10%",6972,2022-10-01
"CLIENT SERVICES","85",637.5,"4.47","33.55","10%",6308,2022-11-01
"LIVESTOCK","13",106,"0.62","5.05","9%",1134,2020-01-01
"NEURO","23",186.75,"1.1","8.89","9%",2016,2020-01-01
"ONCOLOGIES","24",209.25,"1.14","9.96","9%",2335.2,2020-01-01
"CENTRAL SERVICE","19",137.25,"0.9","6.54","9%",1612.8,2020-01-01
"COMMUNITY SURGERY","15",119.25,"0.79","6.28","9%",1360.4,2020-02-01
"SMALL ANIMAL PATIENT CARE","96",642.25,"5.05","33.8","9%",6923.6,2020-02-01
"CLINICAL LABORATORIES","28",213,"1.47","11.21","9%",2272.4,2020-02-01
"CLIENT SERVICES","75",581.25,"3.95","30.59","9%",6308,2020-02-01
"OPHTHALMOLOGY","9",78.75,"0.45","3.94","9%",832,2020-05-01
"RADIOLOGY","36",269,"1.8","13.45","9%",3056,2020-05-01
"SA INTEGRATIVE MEDICINE","6",48,"0.27","2.18","9%",563.2,2020-06-01
"LIVESTOCK","13",110,"0.59","5","9%",1188,2020-07-01
"SA ICU","66",492.75,"3","22.4","9%",5262.4,2020-07-01
"LAM - EQUINE","82",638.5,"3.73","29.02","9%",7383.2,2020-07-01
"ONCOLOGIES","27",214.25,"1.29","10.2","9%",2335.2,2020-08-01
"ANESTHESIA","41",334,"1.95","15.9","9%",3662.4,2020-08-01
"CENTRAL SERVICE","18",145,"0.86","6.9","9%",1612.8,2020-08-01
"ADMINISTRATION OVERHEAD","16",123,"0.76","5.86","9%",1377.6,2020-08-01
"SA CARDIOLOGY","8",62.5,"0.38","2.98","9%",688.8,2020-09-01
"ORTHOPEDIC SURGERY","18",157,"0.86","7.48","9%",1659.84,2020-09-01
"LA FEED & BEDDING","18",135,"0.86","6.43","9%",1512,2020-09-01
"CLINICAL LABORATORIES","31",214.75,"1.48","10.23","9%",2511.6,2020-09-01
"CENTRAL SERVICE","18",154,"0.82","7","9%",1689.6,2020-10-01
"PHARMACY","18",148,"0.82","6.73","9%",1566.4,2020-10-01
"SA COMMUNITY SERVICE","10",87.5,"0.56","4.86","9%",1008,2020-11-01
"LIVESTOCK","11",95,"0.55","4.75","9%",1080,2020-12-01
"SA ICU","54",439.5,"2.7","21.98","9%",4784,2020-12-01
"SA SURGERY","13",124.25,"0.65","6.21","9%",1440,2020-12-01
"SMALL ANIMAL PATIENT CARE","93",689.25,"4.65","34.46","9%",7288,2020-12-01
"SA ICU","51",406.25,"2.68","21.38","9%",4544.8,2021-01-01
"ORTHOPEDIC SURGERY","18",138.75,"0.95","7.3","9%",1501.76,2021-01-01
"SMALL ANIMAL PATIENT CARE","89",647,"4.68","34.05","9%",6923.6,2021-01-01
"SA ICU","52",412,"2.74","21.68","9%",4544.8,2021-02-01
"ANESTHESIA","33",282,"1.74","14.84","9%",3313.6,2021-02-01
"LA FEED & BEDDING","17",124,"0.89","6.53","9%",1368,2021-02-01
"SMALL ANIMAL PATIENT CARE","105",731,"4.77","33.23","9%",8016.8,2021-03-01
"SA ULTRASOUND","2",16,"0.09","0.73","9%",176,2021-03-01
"LIVESTOCK","14",108,"0.64","4.91","9%",1188,2021-04-01
"SA ULTRASOUND","2",16,"0.09","0.73","9%",176,2021-04-01
"BIOLOGICAL MEDIA SERVICES","8",56,"0.4","2.8","9%",640,2021-05-01
"NUTRITION","4",29.75,"0.2","1.49","9%",336,2021-05-01
"CLIENT SERVICES","74",574.25,"3.7","28.71","9%",6640,2021-05-01
"B BARN","7",50.5,"0.33","2.4","9%",588,2021-06-01
"PHARMACY","17",139.5,"0.81","6.64","9%",1495.2,2021-06-01
"CLIENT SERVICES","83",631.25,"3.95","30.06","9%",6972,2021-06-01
"BEHAVIOR","4",30,"0.19","1.43","9%",336,2021-07-01
"DENTISTRY","5",40.5,"0.24","1.93","9%",436.8,2021-09-01
"BIOLOGICAL MEDIA SERVICES","9",57.25,"0.43","2.73","9%",672,2021-10-01
"SA ICU","53",442,"2.52","21.05","9%",5023.2,2021-10-01
"ADMINISTRATION OVERHEAD","16",128,"0.76","6.1","9%",1377.6,2021-10-01
"BIOLOGICAL MEDIA SERVICES","7",54.25,"0.37","2.86","9%",608,2021-11-01
"COMP AVIAN","14",105.25,"0.74","5.54","9%",1124.8,2021-11-01
"CENTRAL SERVICE","19",133.25,"1","7.01","9%",1459.2,2021-11-01
"LIVESTOCK","12",94,"0.6","4.7","9%",1080,2021-12-01
"OPHTHALMOLOGY","8",74.75,"0.4","3.74","9%",832,2021-12-01
"NEURO","20",171.5,"1","8.57","9%",1920,2022-01-01
"LAM - EQUINE","80",629.75,"4","31.49","9%",6712,2022-01-01
"NEURO","18",166,"0.95","8.74","9%",1824,2022-02-01
"COMP AVIAN","12",103.75,"0.63","5.46","9%",1124.8,2022-02-01
"RADIOLOGY","34",270.5,"1.79","14.24","9%",2903.2,2022-02-01
"CENTRAL SERVICE","16",126,"0.84","6.63","9%",1459.2,2022-02-01
"CLIENT SERVICES","81",550.5,"4.26","28.97","9%",6308,2022-02-01
"OPHTHALMOLOGY","11",85.5,"0.5","3.89","9%",915.2,2022-03-01
"CLIENT SERVICES","87",652.5,"3.95","29.66","9%",7304,2022-03-01
"SA CARDIOLOGY","8",59.5,"0.38","2.83","9%",688.8,2022-04-01
"SA ICU","50",441.25,"2.38","21.01","9%",5023.2,2022-04-01
"SA SX SUPPORT","19",151.75,"0.9","7.23","9%",1663.2,2022-04-01
"RADIOLOGY","39",297.25,"1.86","14.15","9%",3208.8,2022-04-01
"ADMINISTRATION OVERHEAD","16",126,"0.76","6","9%",1377.6,2022-04-01
"ORTHOPEDIC SURGERY","20",157.25,"0.95","7.49","9%",1659.84,2022-05-01
"SMALL ANIMAL PATIENT CARE","90",696.5,"4.29","33.17","9%",7652.4,2022-06-01
"LA FEED & BEDDING","19",141,"0.9","6.71","9%",1512,2022-06-01
"PHARMACY","20",140,"0.95","6.67","9%",1495.2,2022-06-01
"SA SURGERY","14",129.5,"0.7","6.47","9%",1440,2022-07-01
"B BARN","7",56,"0.3","2.43","9%",644,2022-08-01
"SA MEDICINE","27",230,"1.29","10.95","9%",2520,2022-09-01
"SA COMMUNITY SERVICE","13",105.25,"0.62","5.01","9%",1176,2022-09-01
"SA SX SUPPORT","17",143.25,"0.81","6.82","9%",1663.2,2022-09-01
"SA ICU","48",448.5,"2.29","21.36","9%",5023.2,2022-10-01
"NUTRITION","4",30,"0.19","1.43","9%",352.8,2022-10-01
"SA SURGERY","15",139.5,"0.71","6.64","9%",1512,2022-10-01
"PHARMACY","15",129,"0.71","6.14","9%",1495.2,2022-10-01
"OPHTHALMOLOGY","9",71.25,"0.47","3.75","9%",790.4,2022-11-01
"SMALL ANIMAL PATIENT CARE","79",625.25,"4.16","32.91","9%",6923.6,2022-11-01
"BIOLOGICAL MEDIA SERVICES","7",56,"0.33","2.67","8%",672,2020-01-01
"SA INTEGRATIVE MEDICINE","5",41,"0.24","1.95","8%",537.6,2020-01-01
"SA COMMUNITY SERVICE","11",86.25,"0.58","4.54","8%",1064,2020-02-01
"LAM - EQUINE","66",513,"3.47","27","8%",6376.4,2020-02-01
"RADIOLOGY","29",228.25,"1.53","12.01","8%",2903.2,2020-02-01
"SA ICU","50",381,"2.38","18.14","8%",5023.2,2020-03-01
"PHARMACY","14",108,"0.7","5.4","8%",1424,2020-05-01
"SA MEDICINE","28",212.75,"1.27","9.67","8%",2640,2020-06-01
"BEHAVIOR","4",28,"0.18","1.27","8%",352,2020-06-01
"CENTRAL SERVICE","18",139,"0.82","6.32","8%",1689.6,2020-06-01
"SA COMMUNITY SERVICE","12",89.5,"0.57","4.26","8%",1176,2020-08-01
"SA ICU","46",378,"2.19","18","8%",5023.2,2020-09-01
"NEURO","19",154,"0.9","7.33","8%",2016,2020-09-01
"OPHTHALMOLOGY","9",68.75,"0.43","3.27","8%",873.6,2020-09-01
"SA CARDIOLOGY","7",56,"0.32","2.55","8%",721.6,2020-10-01
"SA ICU","51",417.25,"2.32","18.97","8%",5262.4,2020-10-01
"ONCOLOGIES","21",183.75,"0.95","8.35","8%",2446.4,2020-10-01
"RADIOLOGY","33",265,"1.5","12.05","8%",3361.6,2020-10-01
"SA ICU","41",328.5,"2.28","18.25","8%",4305.6,2020-11-01
"ONCOLOGIES","18",151.25,"1","8.4","8%",2001.6,2020-11-01
"ORTHOPEDIC SURGERY","15",117,"0.83","6.5","8%",1422.72,2020-11-01
"SA SX SUPPORT","13",115.75,"0.72","6.43","8%",1425.6,2020-11-01
"NUTRITION","4",27.5,"0.2","1.38","8%",336,2020-12-01
"B BARN","6",45,"0.3","2.25","8%",560,2020-12-01
"COMMUNITY SURGERY","14",106,"0.74","5.58","8%",1360.4,2021-01-01
"NEURO","16",142,"0.84","7.47","8%",1824,2021-02-01
